Территория,Значение (январь-апрель 2018г),к АППГ (январь-апрель 2017г)/отклонение,к АППГ (январь-апрель 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"33 091,00","2 569,00","108,4%",,,,
Дальневосточный федеральный округ,"39 097,00","3 087,00","108,6%",,"6 006,00",,2
Амурская область,"31 824,00","1 805,00","106,0%","-7 273,00","-1 267,00",8,24
Еврейская автономная область,"25 420,00","3 771,00","117,4%","-13 677,00","-7 671,00",9,48
Забайкальский край,"23 640,00","1 763,00","108,1%","-15 457,00","-9 451,00",11,63
Камчатская область,,,,,,,
Камчатский край,"45 349,00","6 230,00","115,9%","6 252,00","12 258,00",4,9
Корякский автономный округ,,,,,,,
Магаданская область,"49 536,00","3 889,00","108,5%","10 439,00","16 445,00",3,6
Приморский край,"35 971,00","1 048,00","103,0%","-3 126,00","2 880,00",7,16
Республика Бурятия,"24 746,00","2 512,00","111,3%","-14 351,00","-8 345,00",10,55
Республика Саха (Якутия),"38 558,00","2 618,00","107,3%","-539,00","5 467,00",6,14
Сахалинская область,"49 719,00","4 332,00","109,5%","10 622,00","16 628,00",2,5
Хабаровский край,"42 414,00","5 755,00","115,7%","3 317,00","9 323,00",5,11
Чукотский автономный округ,"68 202,00","2 068,00","103,1%","29 105,00","35 111,00",1,4
Приволжский федеральный округ,"26 287,00","1 749,00","107,1%",,"-6 804,00",,6
Кировская область,"22 239,00","1 789,00","108,7%","-4 048,00","-10 852,00",9,72
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"32 717,00","2 558,00","108,5%","6 430,00","-374,00",1,20
Оренбургская область,"23 915,00","1 063,00","104,7%","-2 372,00","-9 176,00",8,62
Пензенская область,"21 374,00","-680,00","96,9%","-4 913,00","-11 717,00",10,77
Пермская область,,,,,,,
Пермский край,"29 026,00","2 804,00","110,7%","2 739,00","-4 065,00",3,31
Республика Башкортостан,"25 381,00","1 544,00","106,5%","-906,00","-7 710,00",6,49
Республика Марий Эл,"18 925,00","1 695,00","109,8%","-7 362,00","-14 166,00",12,81
Республика Мордовия,"18 357,00","-85,00","99,5%","-7 930,00","-14 734,00",13,82
Республика Татарстан (Татарстан),"31 979,00","913,00","102,9%","5 692,00","-1 112,00",2,22
Самарская область,"28 772,00","2 745,00","110,5%","2 485,00","-4 319,00",4,33
Саратовская область,"21 207,00","2 790,00","115,1%","-5 080,00","-11 884,00",11,78
Удмуртская республика,"25 445,00","1 777,00","107,5%","-842,00","-7 646,00",5,47
Ульяновская область,"24 265,00","1 840,00","108,2%","-2 022,00","-8 826,00",7,61
Чувашская Республика-Чувашия,"17 945,00","636,00","103,7%","-8 342,00","-15 146,00",14,83
Северо-Западный федеральный округ,"35 946,00","1 796,00","105,3%",,"2 855,00",,3
Архангельская область,"34 649,00","2 560,00","108,0%","-1 297,00","1 558,00",4,17
Архангельская область без авт. округа,"32 914,00","2 465,00","108,1%","-3 032,00","-177,00",5,19
Вологодская область,"25 096,00","-716,00","97,2%","-10 850,00","-7 995,00",11,53
г. Санкт-Петербург,"46 054,00","1 867,00","104,2%","10 108,00","12 963,00",2,7
Калининградская область,"28 406,00","2 513,00","109,7%","-7 540,00","-4 685,00",8,35
Ленинградская область,"29 181,00","1 886,00","106,9%","-6 765,00","-3 910,00",7,30
