Территория,Значение (январь-декабрь 2018г),к АППГ (январь-декабрь 2017г)/отклонение,к АППГ (январь-декабрь 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"47 643,00","2 887,00","106,5%",,,,
Дальневосточный федеральный округ,"52 400,00","19 205,00","157,9%",,"4 757,00",,2
Амурская область,"44 664,00","3 786,00","109,3%","-7 736,00","-2 979,00",8,23
Еврейская автономная область,"34 348,00","1 678,00","105,1%","-18 052,00","-13 295,00",9,56
Забайкальский край,,,,,,,
Камчатская область,,,,,,,
Камчатский край,"70 509,00","7 902,00","112,6%","18 109,00","22 866,00",4,7
Корякский автономный округ,,,,,,,
Магаданская область,"70 697,00","-287,00","99,6%","18 297,00","23 054,00",3,6
Приморский край,"49 930,00","4 330,00","109,5%","-2 470,00","2 287,00",7,16
Республика Бурятия,,,,,,,
Республика Саха (Якутия),"71 455,00","18 580,00","135,1%","19 055,00","23 812,00",2,5
Сахалинская область,"67 262,00","4 843,00","107,8%","14 862,00","19 619,00",5,8
Хабаровский край,"60 045,00","5 807,00","110,7%","7 645,00","12 402,00",6,14
Чукотский автономный округ,"126 288,00","-22 607,00","84,8%","73 888,00","78 645,00",1,1
Приволжский федеральный округ,"36 729,00","2 684,00","107,9%",,"-10 914,00",,6
Кировская область,"32 844,00","2 948,00","109,9%","-3 885,00","-14 799,00",7,65
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"42 720,00","3 648,00","109,3%","5 991,00","-4 923,00",2,26
Оренбургская область,"32 514,00","5 028,00","118,3%","-4 215,00","-15 129,00",8,67
Пензенская область,"30 460,00","1 549,00","105,4%","-6 269,00","-17 183,00",10,71
Пермская область,,,,,,,
Пермский край,"40 615,00","2 384,00","106,2%","3 886,00","-7 028,00",3,30
Республика Башкортостан,"40 289,00","2 356,00","106,2%","3 560,00","-7 354,00",4,31
Республика Марий Эл,"27 896,00","4 125,00","117,4%","-8 833,00","-19 747,00",12,76
Республика Мордовия,"24 580,00","892,00","103,8%","-12 149,00","-23 063,00",14,82
Республика Татарстан (Татарстан),"44 843,00","3 649,00","108,9%","8 114,00","-2 800,00",1,22
Самарская область,"38 235,00","2 664,00","107,5%","1 506,00","-9 408,00",5,40
Саратовская область,"29 808,00","2 566,00","109,4%","-6 921,00","-17 835,00",11,72
Удмуртская республика,"33 198,00","1 204,00","103,8%","-3 531,00","-14 445,00",6,62
Ульяновская область,"31 034,00","-249,00","99,2%","-5 695,00","-16 609,00",9,69
Чувашская Республика-Чувашия,"25 774,00","1 175,00","104,8%","-10 955,00","-21 869,00",13,81
Северо-Западный федеральный округ,"51 773,00","1 808,00","103,6%",,"4 130,00",,3
Архангельская область,"47 288,00","3 982,00","109,2%","-4 485,00","-355,00",4,17
Архангельская область без авт. округа,"45 511,00","3 994,00","109,6%","-6 262,00","-2 132,00",6,21
Вологодская область,"38 309,00","5 846,00","118,0%","-13 464,00","-9 334,00",9,39
г. Санкт-Петербург,"67 246,00","119,00","100,2%","15 473,00","19 603,00",2,9
Калининградская область,"39 281,00","687,00","101,8%","-12 492,00","-8 362,00",8,34
