INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT;E_USE_PLAN;GEN_FACT;GEN_PLAN
0;01.01.2018 0:00:00;1;530000;24644;24606;24065;24472
1;01.01.2018 0:00:00;1;530000;23956;23794;22727;22845
2;01.01.2018 0:00:00;1;530000;23330;23423;22568;22631
3;01.01.2018 0:00:00;1;530000;23094;23121;22822;22852
4;01.01.2018 0:00:00;1;530000;23026;23222;22776;22801
5;01.01.2018 0:00:00;1;530000;23165;23209;22664;22629
6;01.01.2018 0:00:00;1;530000;23320;23362;22881;23043
7;01.01.2018 0:00:00;1;530000;23067;23146;23183;23597
8;01.01.2018 0:00:00;1;530000;23626;23750;24564;24584
9;01.01.2018 0:00:00;1;530000;24071;24129;24607;24751
10;01.01.2018 0:00:00;1;530000;24623;24657;24869;24722
11;01.01.2018 0:00:00;1;530000;25171;24902;24863;24728
12;01.01.2018 0:00:00;1;530000;25265;25189;25194;25058
13;01.01.2018 0:00:00;1;530000;25432;25383;25331;25221
14;01.01.2018 0:00:00;1;530000;26057;25693;25518;25375
15;01.01.2018 0:00:00;1;530000;27304;27099;26924;26785
16;01.01.2018 0:00:00;1;530000;27701;27693;27165;27016
17;01.01.2018 0:00:00;1;530000;27718;27633;26939;26801
18;01.01.2018 0:00:00;1;530000;27661;27291;26920;26768
19;01.01.2018 0:00:00;1;530000;27273;27184;26149;26209
20;01.01.2018 0:00:00;1;530000;26928;26737;25693;25534
21;01.01.2018 0:00:00;1;530000;25901;25888;25168;25056
22;01.01.2018 0:00:00;1;530000;24834;24826;24192;24029
23;01.01.2018 0:00:00;1;530000;24024;23672;22975;23443
0;02.01.2018 0:00:00;1;530000;23109;23148;22712;22690
1;02.01.2018 0:00:00;1;530000;22698;22599;22379;22296
2;02.01.2018 0:00:00;1;530000;22402;22403;22234;22131
3;02.01.2018 0:00:00;1;530000;22627;22654;22853;22761
4;02.01.2018 0:00:00;1;530000;23023;23004;23029;22928
5;02.01.2018 0:00:00;1;530000;23431;23496;23779;23663
6;02.01.2018 0:00:00;1;530000;24264;24140;24965;24860
7;02.01.2018 0:00:00;1;530000;24720;24794;25501;25430
8;02.01.2018 0:00:00;1;530000;25761;25492;25805;25709
9;02.01.2018 0:00:00;1;530000;26575;26202;26803;26301
10;02.01.2018 0:00:00;1;530000;26979;26750;26948;26499
11;02.01.2018 0:00:00;1;530000;27218;26901;26746;26652
12;02.01.2018 0:00:00;1;530000;26979;26859;26762;26652
13;02.01.2018 0:00:00;1;530000;27156;26939;26798;26671
14;02.01.2018 0:00:00;1;530000;27404;27343;26784;26687
15;02.01.2018 0:00:00;1;530000;28607;28890;28206;28075
16;02.01.2018 0:00:00;1;530000;28629;28967;28200;28076
17;02.01.2018 0:00:00;1;530000;28573;28836;28163;28053
18;02.01.2018 0:00:00;1;530000;28372;28306;28034;27915
19;02.01.2018 0:00:00;1;530000;27986;27898;26814;26936
20;02.01.2018 0:00:00;1;530000;27519;27300;26349;26362
21;02.01.2018 0:00:00;1;530000;26289;26365;25273;25113
22;02.01.2018 0:00:00;1;530000;25282;25170;24802;24675
23;02.01.2018 0:00:00;1;530000;24235;24260;22995;23342
0;03.01.2018 0:00:00;1;530000;23416;23470;22088;22687
1;03.01.2018 0:00:00;1;530000;22883;22973;21417;22065
2;03.01.2018 0:00:00;1;530000;22669;22679;21376;21778
