INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT;E_USE_PLAN;GEN_FACT;GEN_PLAN
0;01.01.2019 0:00:00;1;530000;26894;26668;26530;26895
1;01.01.2019 0:00:00;1;530000;26093;25997;24941;25207
2;01.01.2019 0:00:00;1;530000;25624;25264;23889;24438
3;01.01.2019 0:00:00;1;530000;25316;25119;23740;23954
4;01.01.2019 0:00:00;1;530000;25414;25210;23698;24040
5;01.01.2019 0:00:00;1;530000;25453;25260;23740;23990
6;01.01.2019 0:00:00;1;530000;25534;25313;24036;24127
7;01.01.2019 0:00:00;1;530000;25591;25408;23803;24433
8;01.01.2019 0:00:00;1;530000;25868;25801;24695;25336
9;01.01.2019 0:00:00;1;530000;26375;26489;25458;26037
10;01.01.2019 0:00:00;1;530000;27028;26829;26847;26795
11;01.01.2019 0:00:00;1;530000;27448;27088;26913;27003
12;01.01.2019 0:00:00;1;530000;27429;27377;26858;27050
13;01.01.2019 0:00:00;1;530000;27520;27594;26881;27177
14;01.01.2019 0:00:00;1;530000;28278;28114;27384;27517
15;01.01.2019 0:00:00;1;530000;29218;29334;28408;28305
16;01.01.2019 0:00:00;1;530000;29704;29895;28462;28370
17;01.01.2019 0:00:00;1;530000;29570;29433;28365;28293
18;01.01.2019 0:00:00;1;530000;29022;29506;28146;28060
19;01.01.2019 0:00:00;1;530000;29118;29110;27532;27472
20;01.01.2019 0:00:00;1;530000;28639;28427;27121;27059
21;01.01.2019 0:00:00;1;530000;27520;27617;27030;26973
22;01.01.2019 0:00:00;1;530000;26745;26442;26909;26845
23;01.01.2019 0:00:00;1;530000;26014;25759;25388;25351
0;02.01.2019 0:00:00;1;530000;25019;25307;24819;24735
1;02.01.2019 0:00:00;1;530000;24907;24970;23774;23994
2;02.01.2019 0:00:00;1;530000;24593;24554;23690;23652
3;02.01.2019 0:00:00;1;530000;24775;24743;23771;23652
4;02.01.2019 0:00:00;1;530000;25251;25245;24422;24355
5;02.01.2019 0:00:00;1;530000;25720;25901;25407;24868
6;02.01.2019 0:00:00;1;530000;26630;26643;26026;25963
7;02.01.2019 0:00:00;1;530000;27155;27268;27278;27208
8;02.01.2019 0:00:00;1;530000;28053;28130;27874;27820
9;02.01.2019 0:00:00;1;530000;28570;28657;27978;27971
10;02.01.2019 0:00:00;1;530000;28926;28721;28142;28103
11;02.01.2019 0:00:00;1;530000;28958;28866;28726;28157
12;02.01.2019 0:00:00;1;530000;28704;28844;28675;28157
13;02.01.2019 0:00:00;1;530000;28930;28881;28721;28139
14;02.01.2019 0:00:00;1;530000;29253;29433;29118;28534
15;02.01.2019 0:00:00;1;530000;30277;30282;29895;29318
16;02.01.2019 0:00:00;1;530000;30789;30676;29871;29312
17;02.01.2019 0:00:00;1;530000;30543;30495;29737;29133
18;02.01.2019 0:00:00;1;530000;29865;30058;29341;28700
19;02.01.2019 0:00:00;1;530000;29742;29831;28427;27792
20;02.01.2019 0:00:00;1;530000;29224;29045;27663;27273
21;02.01.2019 0:00:00;1;530000;27917;27972;26942;26880
22;02.01.2019 0:00:00;1;530000;27151;27212;26373;26302
23;02.01.2019 0:00:00;1;530000;26176;26046;25297;24622
0;03.01.2019 0:00:00;1;530000;25347;25230;24281;24216
1;03.01.2019 0:00:00;1;530000;24743;24831;23737;23684
2;03.01.2019 0:00:00;1;530000;24756;24857;23438;23385
3;03.01.2019 0:00:00;1;530000;24933;24735;23244;23173
4;03.01.2019 0:00:00;1;530000;25346;25393;23873;23833
5;03.01.2019 0:00:00;1;530000;25916;26145;24582;24494
6;03.01.2019 0:00:00;1;530000;26961;26760;26026;25933
7;03.01.2019 0:00:00;1;530000;27892;27498;26619;26506
8;03.01.2019 0:00:00;1;530000;28860;28800;27077;26997
9;03.01.2019 0:00:00;1;530000;29338;29248;27654;27125
10;03.01.2019 0:00:00;1;530000;29622;29801;27734;27281
11;03.01.2019 0:00:00;1;530000;29687;29706;27818;27376
12;03.01.2019 0:00:00;1;530000;29493;29656;27823;27480
13;03.01.2019 0:00:00;1;530000;29612;29648;27702;27592
14;03.01.2019 0:00:00;1;530000;29939;29858;28163;28421
15;03.01.2019 0:00:00;1;530000;31161;30871;29103;29182
16;03.01.2019 0:00:00;1;530000;31264;31219;29344;29238
17;03.01.2019 0:00:00;1;530000;31126;31071;29381;29319
18;03.01.2019 0:00:00;1;530000;30592;30640;29127;28889
19;03.01.2019 0:00:00;1;530000;30400;30213;28218;28058
20;03.01.2019 0:00:00;1;530000;29759;29668;27502;27262
21;03.01.2019 0:00:00;1;530000;28599;28469;26854;26768
22;03.01.2019 0:00:00;1;530000;27516;27486;26117;26030
23;03.01.2019 0:00:00;1;530000;26527;26381;24700;24644
0;04.01.2019 0:00:00;1;530000;25497;25586;23948;23694
1;04.01.2019 0:00:00;1;530000;25116;25070;23534;23223
2;04.01.2019 0:00:00;1;530000;25032;24881;23261;23069
3;04.01.2019 0:00:00;1;530000;25025;24960;23452;23274
4;04.01.2019 0:00:00;1;530000;25712;25526;23810;23695
5;04.01.2019 0:00:00;1;530000;26447;26182;24917;24724
6;04.01.2019 0:00:00;1;530000;27474;27343;26190;26015
7;04.01.2019 0:00:00;1;530000;28412;28362;26649;26455
8;04.01.2019 0:00:00;1;530000;29650;29568;27316;27115
9;04.01.2019 0:00:00;1;530000;29884;29958;27569;27310
10;04.01.2019 0:00:00;1;530000;30068;30283;28166;27444
11;04.01.2019 0:00:00;1;530000;29998;29875;28122;27367
12;04.01.2019 0:00:00;1;530000;29880;29990;28228;27650
13;04.01.2019 0:00:00;1;530000;30047;29919;27788;27531
14;04.01.2019 0:00:00;1;530000;30355;30156;28843;28292
15;04.01.2019 0:00:00;1;530000;31576;31505;29823;29208
16;04.01.2019 0:00:00;1;530000;31778;31786;29693;29275
17;04.01.2019 0:00:00;1;530000;31356;31574;29172;28968
18;04.01.2019 0:00:00;1;530000;30847;31034;28769;28678
19;04.01.2019 0:00:00;1;530000;30589;30508;27810;28034
20;04.01.2019 0:00:00;1;530000;30024;29760;27383;27208
21;04.01.2019 0:00:00;1;530000;28760;28602;26425;26214
22;04.01.2019 0:00:00;1;530000;27637;27507;26244;26018
23;04.01.2019 0:00:00;1;530000;26708;26628;25239;24820
0;05.01.2019 0:00:00;1;530000;25917;25737;24575;24379
1;05.01.2019 0:00:00;1;530000;25375;25264;23782;23584
2;05.01.2019 0:00:00;1;530000;25210;25212;23738;23551
3;05.01.2019 0:00:00;1;530000;25327;25349;23806;23594
4;05.01.2019 0:00:00;1;530000;25958;25854;24296;24049
5;05.01.2019 0:00:00;1;530000;26590;26608;25360;25147
6;05.01.2019 0:00:00;1;530000;27639;27652;26317;26327
7;05.01.2019 0:00:00;1;530000;28590;28744;27202;27053
8;05.01.2019 0:00:00;1;530000;29776;29847;27841;27629
9;05.01.2019 0:00:00;1;530000;30182;30192;28250;27793
10;05.01.2019 0:00:00;1;530000;30325;30291;28660;27964
11;05.01.2019 0:00:00;1;530000;30119;30259;28750;28021
12;05.01.2019 0:00:00;1;530000;30393;30212;28871;28111
13;05.01.2019 0:00:00;1;530000;30366;30332;28847;28171
14;05.01.2019 0:00:00;1;530000;30746;30719;29509;28839
15;05.01.2019 0:00:00;1;530000;31979;32151;30322;29935
16;05.01.2019 0:00:00;1;530000;31940;32166;30439;29922
17;05.01.2019 0:00:00;1;530000;31702;31893;30156;29894
18;05.01.2019 0:00:00;1;530000;31256;31375;30093;29607
19;05.01.2019 0:00:00;1;530000;30783;30833;28922;28617
20;05.01.2019 0:00:00;1;530000;30152;30211;28177;27862
21;05.01.2019 0:00:00;1;530000;29197;28852;27112;26843
22;05.01.2019 0:00:00;1;530000;27879;27611;26738;26445
23;05.01.2019 0:00:00;1;530000;26894;27003;25574;25276
0;06.01.2019 0:00:00;1;530000;26162;26006;25311;25167
1;06.01.2019 0:00:00;1;530000;25574;25541;24565;24504
2;06.01.2019 0:00:00;1;530000;25427;25496;24298;24196
3;06.01.2019 0:00:00;1;530000;25649;25601;24612;24227
4;06.01.2019 0:00:00;1;530000;26087;26111;25045;24838
5;06.01.2019 0:00:00;1;530000;26889;26714;26260;25905
6;06.01.2019 0:00:00;1;530000;27577;27956;27167;27234
7;06.01.2019 0:00:00;1;530000;28617;28879;28009;28053
8;06.01.2019 0:00:00;1;530000;29758;29653;28478;28720
9;06.01.2019 0:00:00;1;530000;30200;30042;28782;29006
10;06.01.2019 0:00:00;1;530000;30209;30177;28791;29018
11;06.01.2019 0:00:00;1;530000;30269;30149;28881;28985
12;06.01.2019 0:00:00;1;530000;30281;30067;28827;28944
