Территория,Значение (январь-декабрь 2019г),к АППГ (январь-декабрь 2018г)/отклонение,к АППГ (январь-декабрь 2018г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Челябинская область,"27 993,00","-4 625,00","85,8%","-12 511,00","-12 883,00",6,66
Ямало-Ненецкий автономный округ,"85 480,00","-12 294,00","87,4%","44 976,00","44 604,00",1,3
Центральный федеральный округ,"54 008,00","-9 176,00","85,5%",,"13 132,00",,1
Белгородская область,"39 086,00","1 130,00","103,0%","-14 922,00","-1 790,00",3,20
Брянская область,"32 255,00","-3 193,00","91,0%","-21 753,00","-8 621,00",10,44
Владимирская область,"28 698,00","-5 120,00","84,9%","-25 310,00","-12 178,00",17,64
Воронежская область,"36 268,00","-5 149,00","87,6%","-17 740,00","-4 608,00",5,27
г. Москва,"85 576,00","-16 691,00","83,7%","31 568,00","44 700,00",1,2
Ивановская область,"31 147,00","-1 950,00","94,1%","-22 861,00","-9 729,00",14,50
Калужская область,"35 051,00","-3 423,00","91,1%","-18 957,00","-5 825,00",6,33
Костромская область,"27 653,00","-3 239,00","89,5%","-26 355,00","-13 223,00",18,68
Курская область,"34 409,00","-2 508,00","93,2%","-19 599,00","-6 467,00",7,35
Липецкая область,"37 113,00","-2 585,00","93,5%","-16 895,00","-3 763,00",4,23
Московская область,"53 900,00","-10 530,00","83,7%","-108,00","13 024,00",2,11
Орловская область,"29 543,00","-4 354,00","87,2%","-24 465,00","-11 333,00",16,55
Рязанская область,"33 708,00","-6 053,00","84,8%","-20 300,00","-7 168,00",8,39
Смоленская область,"30 389,00","-4 542,00","87,0%","-23 619,00","-10 487,00",15,51
Тамбовская область,"33 306,00","-5 297,00","86,3%","-20 702,00","-7 570,00",9,42
Тверская область,"31 795,00","-6 232,00","83,6%","-22 213,00","-9 081,00",13,47
Тульская область,"31 867,00","-7 059,00","81,9%","-22 141,00","-9 009,00",12,46
Ярославская область,"32 174,00","-5 183,00","86,1%","-21 834,00","-8 702,00",11,45
Южный федеральный округ,"34 610,00","-4 467,00","88,6%",,"-6 266,00",,5
Астраханская область,"28 642,00","-5 100,00","84,9%","-5 968,00","-12 234,00",6,65
Волгоградская область,"29 087,00","-2 629,00","91,7%","-5 523,00","-11 789,00",5,62
г. Севастополь,"34 285,00","-1 452,00","95,9%","-325,00","-6 591,00",3,36
Краснодарский край,"40 380,00","-6 880,00","85,4%","5 770,00","-496,00",1,19
Республика Адыгея (Адыгея),"33 903,00","-3 590,00","90,4%","-707,00","-6 973,00",4,38
Республика Калмыкия,"23 270,00","5 418,00","130,3%","-11 340,00","-17 606,00",8,81
Республика Крым,"24 441,00","-3 420,00","87,7%","-10 169,00","-16 435,00",7,77
Ростовская область,"37 064,00","-3 820,00","90,7%","2 454,00","-3 812,00",2,24
