INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT;E_USE_PLAN;GEN_FACT;GEN_PLAN
5;17.11.2020 0:00:00;2;0;27541;27423;26647;26586
6;17.11.2020 0:00:00;2;0;27270;27333;26474;26675
7;17.11.2020 0:00:00;2;0;26918;27064;26151;26525
8;17.11.2020 0:00:00;2;0;26733;26919;25863;26037
9;17.11.2020 0:00:00;2;0;26585;26806;25402;26030
10;17.11.2020 0:00:00;2;0;26604;26626;25501;25940
11;17.11.2020 0:00:00;2;0;26739;26796;25586;26081
12;17.11.2020 0:00:00;2;0;26926;27151;26081;26416
13;17.11.2020 0:00:00;2;0;27598;27489;26687;26483
14;17.11.2020 0:00:00;2;0;27518;27370;26261;26289
15;17.11.2020 0:00:00;2;0;26980;26959;25702;25993
16;17.11.2020 0:00:00;2;0;26937;26676;25947;26000
17;17.11.2020 0:00:00;2;0;26376;26140;25411;25632
18;17.11.2020 0:00:00;2;0;25706;25490;25130;25240
19;17.11.2020 0:00:00;2;0;24919;24844;24602;24970
20;17.11.2020 0:00:00;2;0;24448;24388;24271;24714
21;17.11.2020 0:00:00;2;0;24289;24203;23931;24084
22;17.11.2020 0:00:00;2;0;24138;24101;23578;23888
