INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT;E_USE_PLAN;GEN_FACT;GEN_PLAN
11;16.11.2020 0:00:00;2;0;26583;26606;25281;25000
12;16.11.2020 0:00:00;2;0;26834;26819;25791;25317
13;16.11.2020 0:00:00;2;0;27157;27339;26488;26829
14;16.11.2020 0:00:00;2;0;27082;27199;26165;26549
15;16.11.2020 0:00:00;2;0;26667;26775;26286;26438
16;16.11.2020 0:00:00;2;0;26618;26543;26337;26297
17;16.11.2020 0:00:00;2;0;26080;26052;25438;25929
18;16.11.2020 0:00:00;2;0;25482;25264;25005;25334
19;16.11.2020 0:00:00;2;0;24686;24615;24869;24820
20;16.11.2020 0:00:00;2;0;24376;24289;24667;24790
21;16.11.2020 0:00:00;2;0;24220;24051;24245;24296
22;16.11.2020 0:00:00;2;0;24326;24016;24349;24372
23;16.11.2020 0:00:00;2;0;24058;24116;24152;24445
0;17.11.2020 0:00:00;2;0;24350;24206;23911;23933
1;17.11.2020 0:00:00;2;0;24986;24885;24453;24492
2;17.11.2020 0:00:00;2;0;25923;25799;25064;25200
3;17.11.2020 0:00:00;2;0;26638;26423;25976;25842
4;17.11.2020 0:00:00;2;0;27315;27123;26091;26368
