INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT;E_USE_PLAN;GEN_FACT;GEN_PLAN
0;01.01.2017 0:00:00;1;530000;26263;26308;26130;26134
1;01.01.2017 0:00:00;1;530000;25273;25403;26405;26466
2;01.01.2017 0:00:00;1;530000;24475;24513;24934;25021
3;01.01.2017 0:00:00;1;530000;23795;23991;24546;24673
4;01.01.2017 0:00:00;1;530000;23569;23748;24218;24405
5;01.01.2017 0:00:00;1;530000;23546;23741;24256;24426
6;01.01.2017 0:00:00;1;530000;23660;23928;24172;24335
7;01.01.2017 0:00:00;1;530000;23705;24006;23883;24820
8;01.01.2017 0:00:00;1;530000;23680;23857;24256;25265
9;01.01.2017 0:00:00;1;530000;24092;24173;26186;26092
10;01.01.2017 0:00:00;1;530000;24667;24528;26323;26203
11;01.01.2017 0:00:00;1;530000;25222;24733;26096;25975
12;01.01.2017 0:00:00;1;530000;25310;25078;26357;26257
13;01.01.2017 0:00:00;1;530000;25610;25464;26358;26272
14;01.01.2017 0:00:00;1;530000;25760;25862;26364;26284
15;01.01.2017 0:00:00;1;530000;26066;26311;26489;26427
16;01.01.2017 0:00:00;1;530000;27703;27634;27725;27663
17;01.01.2017 0:00:00;1;530000;28265;28206;27850;27813
18;01.01.2017 0:00:00;1;530000;28083;28186;28023;27945
19;01.01.2017 0:00:00;1;530000;27730;28029;27930;27847
20;01.01.2017 0:00:00;1;530000;27624;27775;27149;27267
21;01.01.2017 0:00:00;1;530000;26960;27269;26431;26311
22;01.01.2017 0:00:00;1;530000;26351;26188;26338;26284
23;01.01.2017 0:00:00;1;530000;25178;24934;26084;26018
0;02.01.2017 0:00:00;1;530000;24200;24411;24501;24983
1;02.01.2017 0:00:00;1;530000;23495;23748;24452;24771
2;02.01.2017 0:00:00;1;530000;23019;22961;23710;24370
3;02.01.2017 0:00:00;1;530000;22862;22754;23524;23992
4;02.01.2017 0:00:00;1;530000;22764;22899;24031;24224
5;02.01.2017 0:00:00;1;530000;23545;23144;24703;24629
6;02.01.2017 0:00:00;1;530000;24044;23620;25059;24950
7;02.01.2017 0:00:00;1;530000;24388;24297;26081;26006
8;02.01.2017 0:00:00;1;530000;25256;25194;26444;26379
9;02.01.2017 0:00:00;1;530000;26166;26122;27413;27329
10;02.01.2017 0:00:00;1;530000;26657;26679;27506;27413
11;02.01.2017 0:00:00;1;530000;26996;26937;27586;27460
12;02.01.2017 0:00:00;1;530000;26858;26943;27602;27484
13;02.01.2017 0:00:00;1;530000;26830;27065;27655;27561
14;02.01.2017 0:00:00;1;530000;26864;27051;27737;27638
15;02.01.2017 0:00:00;1;530000;27564;27673;28961;28849
16;02.01.2017 0:00:00;1;530000;29010;28948;29190;29072
17;02.01.2017 0:00:00;1;530000;29478;29510;29206;29079
18;02.01.2017 0:00:00;1;530000;29089;29357;29199;29046
19;02.01.2017 0:00:00;1;530000;28843;28998;28619;28486
20;02.01.2017 0:00:00;1;530000;28726;28551;27990;27926
21;02.01.2017 0:00:00;1;530000;28034;27650;27354;27292
22;02.01.2017 0:00:00;1;530000;27023;26620;26747;26629
23;02.01.2017 0:00:00;1;530000;26008;25575;26199;26483
0;03.01.2017 0:00:00;1;530000;24768;24753;24990;25037
1;03.01.2017 0:00:00;1;530000;23877;24340;24547;24809
2;03.01.2017 0:00:00;1;530000;23491;23890;24034;24568
3;03.01.2017 0:00:00;1;530000;23179;23583;24046;24523
4;03.01.2017 0:00:00;1;530000;23604;23426;24175;24495
5;03.01.2017 0:00:00;1;530000;24042;23889;24929;24944
6;03.01.2017 0:00:00;1;530000;24654;24527;25777;25330
7;03.01.2017 0:00:00;1;530000;25619;25368;26340;26313
8;03.01.2017 0:00:00;1;530000;26431;26356;27038;26971
9;03.01.2017 0:00:00;1;530000;27488;27439;27824;27748
10;03.01.2017 0:00:00;1;530000;28256;28067;28307;27793
